Player,Pos,FG%,3P%,2P%,eF%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MCid,KMid,Hierid
Terence Davis,SG,0.42,0.365,0.505,0.531,0.87,0.3,1.8,2.1,1.1,0.6,0.2,0.9,1.5,7.5,3,3,3
DeMar DeRozan,PF,0.491,0.29,0.514,0.506,0.877,0.7,3.7,4.4,7,1,0.3,1.9,1.9,20.9,2,2,2
Hamidou Diallo,SG,0.496,0.358,0.521,0.523,0.651,1.2,4,5.2,2.3,0.9,0.4,1.5,2.6,12.1,3,3,1
Donte DiVincenzo,SG,0.416,0.382,0.456,0.521,0.712,1.3,4.3,5.6,3.1,1.2,0.2,1.4,1.6,10.5,3,3,2
Luka Doncic,PG,0.482,0.37,0.553,0.554,0.735,0.8,7.4,8.2,8.7,1,0.6,4.3,2.2,28.5,2,2,2
Luguentz Dort,SG,0.386,0.327,0.453,0.473,0.764,0.7,2.8,3.4,1.6,0.9,0.4,1.4,2.4,12.6,3,3,3
Sekou Doumbouya,PF,0.343,0.244,0.426,0.398,0.75,0.5,1.6,2.1,0.6,0.4,0,0.7,1.4,3.8,3,3,3
Anthony Edwards,SG,0.397,0.314,0.455,0.462,0.78,0.9,3.5,4.4,2.6,1.1,0.4,2.2,1.7,17.8,2,3,3
Wayne Ellington,SG,0.444,0.419,0.544,0.611,0.788,0.2,1.6,1.9,1.4,0.4,0.2,0.7,1.4,10.1,3,3,3
Derrick Favors,C,0.62,0,0.624,0.62,0.739,2.1,3.4,5.6,0.8,0.5,1,0.6,2.2,5.8,1,1,1
Dorian Finney-Smith,PF,0.438,0.37,0.564,0.559,0.852,1.6,3.8,5.3,1.5,0.9,0.4,0.6,2.5,8.9,3,3,3
Bryn Forbes,SG,0.455,0.457,0.453,0.602,0.765,0.2,1.1,1.3,0.6,0.3,0,0.6,1.1,9.3,3,3,3
De'Aaron Fox,PG,0.478,0.326,0.541,0.526,0.716,0.5,2.8,3.3,7.1,1.4,0.5,3.1,2.9,24.6,2,2,2
Danilo Gallinari,PF,0.428,0.403,0.459,0.54,0.931,0.2,3.8,4,1.4,0.5,0.2,1,2.1,13.2,3,3,3
Darius Garland,PG,0.447,0.4,0.468,0.509,0.845,0.5,1.9,2.4,5.9,1.2,0.1,3,2.3,16.7,2,2,2
Marc Gasol,C,0.426,0.365,0.523,0.538,0.75,0.7,3.4,4.1,2.1,0.5,1.3,1.2,2.3,5.1,1,3,3
Rudy Gay,PF,0.411,0.391,0.426,0.495,0.783,0.8,4.2,5,1.5,0.8,0.6,1,1.9,11.1,3,3,3
Paul George,SF,0.472,0.431,0.505,0.568,0.888,0.9,5.4,6.2,5.4,1.1,0.5,3.2,2.3,22.5,2,2,2
Rudy Gobert,C,0.662,0,0.667,0.662,0.618,3.4,10,13.3,1.3,0.5,2.9,1.6,2.3,14.6,1,1,1
Devonte' Graham,PG,0.374,0.373,0.376,0.501,0.83,0.4,2.4,2.8,5.1,1.1,0.1,1.5,1.3,13.9,3,3,3
Jerami Grant,SF,0.429,0.359,0.469,0.494,0.854,0.7,4.1,4.8,2.9,0.7,1.1,2,2.3,22.5,2,2,3
Danny Green,SF,0.421,0.415,0.442,0.584,0.724,0.8,2.8,3.6,1.7,1.3,0.9,1.1,1.8,9.8,1,3,3
Draymond Green,PF,0.415,0.264,0.494,0.46,0.772,0.9,5.6,6.5,8.5,1.5,0.7,2.8,3.2,6.4,2,2,2
JaMychal Green,PF,0.463,0.404,0.529,0.57,0.829,1.5,3.7,5.2,0.8,0.5,0.4,0.9,2.5,8.4,3,3,3
Jeff Green,C,0.493,0.42,0.56,0.593,0.738,0.5,3.3,3.8,1.4,0.6,0.4,0.8,1.8,10.3,3,3,3
Rui Hachimura,PF,0.476,0.327,0.521,0.514,0.771,0.9,5,5.9,1.6,0.8,0.1,1.2,2.1,14.1,2,3,1
Tyrese Haliburton,PG,0.482,0.418,0.544,0.585,0.875,0.8,2.5,3.3,5.1,1.2,0.6,1.5,1.4,13.1,2,3,3
Tim Hardaway Jr.,SG,0.448,0.395,0.52,0.562,0.793,0.3,3.2,3.5,1.7,0.5,0.1,0.9,1.6,16.6,3,3,3
James Harden,PG,0.463,0.358,0.549,0.544,0.87,0.8,7.2,8,10.9,1.2,0.7,4.1,2.3,25.2,2,2,2
Montrezl Harrell,C,0.629,0,0.642,0.629,0.71,2.5,4.2,6.7,1.1,0.7,0.8,1.1,2,14.8,1,1,1
